"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"10904","Estonia",2020-09-22,245,2976,35,64,0,2385,6,527,224.3,2.6,39.7,4.8,0,192,173
"11096","Eswatini",2020-09-22,245,5307,25,106,2,4672,25,529,457.5,2.2,45.6,9.1,0.2,145,86
"11307","Ethiopia",2020-09-22,245,70422,713,1127,19,28991,357,40304,61.3,0.6,35.1,1,0,157,114
"11578","Fiji",2020-09-22,245,32,0,2,0,28,2,2,3.6,0,0.2,0.2,0,0,0
"11656","Finland",2020-09-22,245,9195,149,341,0,7700,0,1154,165.9,2.7,20.8,6.2,0,193,177
"11919","France",2020-09-22,245,507150,10299,31426,80,94961,672,380763,777,15.8,583.3,48.1,0.1,206,199
"12187","Gabon",2020-09-22,245,8704,0,54,0,7875,0,775,391,0,34.8,2.4,0,158,131
"12507","Georgia",2020-09-22,245,3913,218,23,3,1574,40,2316,98.1,5.5,58.1,0.6,0.1,176,137
"12545","Germany",2020-09-22,245,277412,1852,9405,15,244693,2037,23314,331.1,2.2,27.8,11.2,0,205,191
"12856","Ghana",2020-09-22,245,46062,0,297,0,45258,0,507,148.2,0,1.6,1,0,180,151
"13102","Greece",2020-09-22,245,15928,333,352,8,1347,0,14229,152.8,3.2,136.5,3.4,0.1,193,185
"13313","Grenada",2020-09-22,245,24,0,0,0,24,0,0,21.2,0,0,0,0,0,0
"13449","Guatemala",2020-09-22,245,86623,942,3137,13,75869,697,7617,483.5,5.3,42.5,17.5,0.1,165,152
"13595","Guinea",2020-09-22,245,10387,43,65,0,9780,23,542,79.1,0.3,4.1,0.5,0,171,140
"13909","Guinea-Bissau",2020-09-22,245,2324,21,39,0,1549,422,736,118.1,1.1,37.4,2,0,146,109
"13982","Guyana",2020-09-22,245,2437,35,67,2,1361,2,1009,309.7,4.4,128.2,8.5,0.3,135,140
"14263","Haiti",2020-09-22,245,8633,9,223,2,6482,0,1928,75.7,0.1,16.9,2,0,141,141
"14306","Holy See (Vatican City)",2020-09-22,245,12,0,0,0,12,0,0,1200,0,0,0,0,0,0
"14641","Honduras",2020-09-22,245,72306,231,2206,2,23230,619,46870,730,2.3,473.2,22.3,0,177,174
"14774","Hong Kong",2020-09-22,245,5046,8,103,0,4729,12,214,67.3,0.1,2.9,1.4,0,204,69
"15131","Hungary",2020-09-22,245,19499,633,694,8,4559,158,14246,201.9,6.6,147.5,7.2,0.1,185,181
"15332","Iceland",2020-09-22,245,2419,42,10,0,2130,5,279,709.4,12.3,81.8,2.9,0,194,155
"15484","India",2020-09-22,245,5562663,0,88935,0,4497867,0,975861,403.1,0,70.7,6.4,0,192,183
"15730","Indonesia",2020-09-22,245,252923,4071,9837,160,184298,3501,58788,92.5,1.5,21.5,3.6,0.1,191,188
"15889","Iran (Islamic Republic of)",2020-09-22,245,429193,3712,24656,178,363737,2214,40800,511,4.4,48.6,29.4,0.2,209,211
"16185","Iraq",2020-09-22,245,327580,4724,8682,57,261757,3682,57141,814.4,11.7,142.1,21.6,0.1,193,192
"16315","Ireland",2020-09-22,245,33444,323,1792,0,23364,0,8288,677.3,6.5,167.8,36.3,0,192,180
"16524","Israel",2020-09-22,245,193374,2445,1285,12,140751,3971,51338,2234,28.2,593.1,14.8,0.1,194,179
"16696","Italy",2020-09-22,245,300897,1391,35738,14,219670,967,45489,497.7,2.3,75.2,59.1,0,212,210
"17013","Jamaica",2020-09-22,245,5270,127,75,5,1444,37,3751,178,4.3,126.7,2.5,0.2,160,111
"17213","Japan",2020-09-22,245,79773,311,1519,1,71214,244,7040,63.1,0.2,5.6,1.2,0,214,197
"17479","Jordan",2020-09-22,245,5679,634,33,1,3707,180,1939,55.7,6.2,19,0.3,0,184,81
"17609","Kazakhstan",2020-09-22,245,107450,76,1699,28,102064,0,3687,572.2,0.4,19.6,9,0.1,180,165
"17774","Kenya",2020-09-22,245,37218,139,659,9,24147,198,12412,69.2,0.3,23.1,1.2,0,173,160
"17961","Kosovo",2020-09-22,245,12683,0,488,0,8788,0,3407,704.6,0,189.3,27.1,0,175,158
"18179","Kuwait",2020-09-22,245,100683,719,588,3,91612,682,8483,2357.4,16.8,198.6,13.8,0.1,192,154
"18446","Kyrgyzstan",2020-09-22,245,45542,71,1063,0,41796,114,2683,698.1,1.1,41.1,16.3,0,175,142
"18611","Lao People's Democratic Republic",2020-09-22,245,23,0,0,0,22,0,1,0.3,0,0,0,0,0,0
"18763","Latvia",2020-09-22,245,1560,34,36,0,1248,0,276,82.7,1.8,14.6,1.9,0,186,153
"19052","Lebanon",2020-09-22,245,30852,865,315,8,12878,371,17659,452,12.7,258.7,4.6,0.1,191,177
"19207","Lesotho",2020-09-22,245,1424,0,33,0,754,0,637,66.5,0,29.7,1.5,0,75,58
"19265","Liberia",2020-09-22,245,1336,0,82,0,1218,0,36,26.4,0,0.7,1.6,0,154,150
"19539","Libya",2020-09-22,245,29446,650,460,10,15913,529,13073,428.6,9.5,190.3,6.7,0.1,117,100
"19773","Liechtenstein",2020-09-22,245,115,1,1,0,110,0,4,302.6,2.6,10.5,2.6,0,29,0
"20009","Lithuania",2020-09-22,245,3859,45,87,0,2225,26,1547,141.8,1.7,56.8,3.2,0,184,171
"20051","Luxembourg",2020-09-22,245,8016,100,124,0,6848,9,1044,1280.5,16,166.8,19.8,0,189,179
"20341","Macao",2020-09-22,245,46,0,0,0,46,0,0,7.1,0,0,0,0,0,0
"20574","Madagascar",2020-09-22,245,16136,63,226,1,14743,61,1167,58.3,0.2,4.2,0.8,0,164,104
"20764","Mainland China",2020-09-22,245,85307,10,4634,0,80500,6,173,5.9,0,0,0.3,0,244,244
"20919","Malawi",2020-09-22,245,5739,6,179,0,4065,12,1495,30,0,7.8,0.9,0,120,93
"21148","Malaysia",2020-09-22,245,10358,82,130,0,9563,168,665,32,0.3,2.1,0.4,0,197,184
"21466","Maldives",2020-09-22,245,9818,48,34,0,8438,48,1346,1814.8,8.9,248.8,6.3,0,152,82
"21576","Mali",2020-09-22,245,3030,6,129,1,2380,3,521,15,0,2.6,0.6,0,163,162
"21726","Malta",2020-09-22,245,2814,38,23,0,2113,34,678,636.7,8.6,153.4,5.2,0,183,32
"21969","Mauritania",2020-09-22,245,7403,19,161,0,7011,34,231,159.2,0.4,5,3.5,0,126,119
"22127","Mauritius",2020-09-22,245,367,1,10,0,339,1,18,28.9,0.1,1.4,0.8,0,178,148
"22343","Mexico",2020-09-22,245,705263,4683,74348,651,598953,2636,31962,547,3.6,24.8,57.7,0.5,188,179
"22668","Moldova, Republic of",2020-09-22,245,47446,650,1230,19,35542,524,10674,1176.2,16.1,264.6,30.5,0.5,183,171
"22887","Monaco",2020-09-22,245,197,2,1,0,163,4,33,505.1,5.1,84.6,2.6,0,93,0
"23092","Mongolia",2020-09-22,245,313,0,0,0,302,0,11,9.5,0,0.3,0,0,129,0
"23112","Montenegro",2020-09-22,245,9138,296,146,8,5544,119,3448,1455.1,47.1,549,23.2,1.3,175,86
"23445","Morocco",2020-09-22,245,105346,2227,1889,34,85883,1725,17574,285.4,6,47.6,5.1,0.1,184,180
"23663","Mozambique",2020-09-22,245,7114,202,45,1,4064,326,3005,22.8,0.6,9.6,0.1,0,134,66
"23762","MS Zaandam Cruise Ship",2020-09-22,245,9,0,2,0,0,0,7,NA,NA,NA,NA,NA,0,0
"23907","Namibia",2020-09-22,245,10607,81,116,3,8359,247,2132,417.4,3.2,83.9,4.6,0.1,89,54
"24139","Nepal",2020-09-22,245,66632,1356,429,2,48061,823,18142,228.7,4.7,62.3,1.5,0,138,110
